candidatura	posicion
Insulza	0.1650331777
sebastianpinera	0.1002642456
AndresVelasco	0.0832362876
ximerincon	0.0764664296
senadornavarro	0.0655854881
SenadorGuillier	0.0547384563
albertoespina	0.0486511408
mjossandon	0.0437408482
RicardoLagos	0.039657324
allamand	0.0371653973
joseantoniokast	0.0359955361
lilyperez	0.0354583355
chahuan	0.0343871048
jburgosv	0.0314449449
JorgeTarud	0.0306251898
fernando_atria	0.0299616915
marcoporchile	0.0295422066
carolinagoic	0.0294178945
felipekast	0.0286283008
